"source_id","timestamp","api_time","apparent_temperature","latitude","longitude","precipitation","temp_gap_f","temperature_2m","wind_speed_10m"
"charleston-weather","2026-04-06T22:33:42Z","2026-04-06T22:30","60.5","32.762573","'-79.83892","0","4.9","65.4","12.8"
"charleston-weather","2026-04-06T22:33:43Z","2026-04-06T22:30","60.5","32.762573","'-79.83892","0","4.9","65.4","12.8"
"charleston-weather","2026-04-06T22:33:51Z","2026-04-06T22:30","60.5","32.762573","'-79.83892","0","4.9","65.4","12.8"
"charleston-weather","2026-04-06T22:40:05Z","2026-04-06T22:30","60.5","32.762573","'-79.83892","0","4.9","65.4","12.8"
"charleston-weather","2026-04-06T22:50:05Z","2026-04-06T22:45","60.2","32.762573","'-79.83892","0","4.8","65","12.5"
"charleston-weather","2026-04-06T23:00:17Z","2026-04-06T23:00","59.6","32.762573","'-79.83892","0","4.8","64.4","12.4"
"charleston-weather","2026-04-06T23:10:05Z","2026-04-06T23:00","59.6","32.762573","'-79.83892","0","4.8","64.4","12.4"
"charleston-weather","2026-04-06T23:20:05Z","2026-04-06T23:15","59.1","32.762573","'-79.83892","0","4.8","63.9","11.4"
"charleston-weather","2026-04-06T23:30:06Z","2026-04-06T23:30","57.5","32.762573","'-79.83892","0","5.1","62.6","11.2"
"charleston-weather","2026-04-06T23:40:05Z","2026-04-06T23:30","57.7","32.762573","'-79.83892","0","4.9","62.6","11.2"
"charleston-weather","2026-04-06T23:50:05Z","2026-04-06T23:45","57.2","32.762573","'-79.83892","0","4.9","62.1","11"
"charleston-weather","2026-04-07T00:00:13Z","2026-04-07T00:00","56.4","32.762573","'-79.83892","0","4.8","61.2","10.1"
"charleston-weather","2026-04-07T00:10:05Z","2026-04-07T00:00","56.4","32.762573","'-79.83892","0","4.8","61.2","10.1"
"charleston-weather","2026-04-07T00:20:05Z","2026-04-07T00:15","56.1","32.762573","'-79.83892","0","5","61.1","10.7"
"charleston-weather","2026-04-07T00:30:12Z","2026-04-07T00:30","56.1","32.762573","'-79.83892","0","4.3","60.4","7.9"
"charleston-weather","2026-04-07T00:40:14Z","2026-04-07T00:30","56.9","32.762573","'-79.83892","0","3.5","60.4","7.9"
"charleston-weather","2026-04-07T00:50:05Z","2026-04-07T00:45","57","32.762573","'-79.83892","0","3.4","60.4","7.4"
"charleston-weather","2026-04-07T01:00:13Z","2026-04-07T01:00","56.7","32.762573","'-79.83892","0","3.4","60.1","7.8"
"charleston-weather","2026-04-07T01:10:05Z","2026-04-07T01:00","56.7","32.762573","'-79.83892","0","3.4","60.1","7.8"
"charleston-weather","2026-04-07T01:20:05Z","2026-04-07T01:15","56.9","32.762573","'-79.83892","0","2.7","59.6","4.8"
"charleston-weather","2026-04-07T01:30:27Z","2026-04-07T01:30","55.5","32.762573","'-79.83892","0","4","59.5","10"
